anonymous_id,received_at,product_id,total,revenue,discount,is_gift
61101c94-c055-4746-b678-efbb6db4c410,11/2/2017 12:44,hans-zimmer-teaches-film-scoring,90,90,0,f
7a8e73a3-589e-4d8a-a824-b5cb507b5abb,11/2/2017 12:49,gordon-ramsay-teaches-cooking,90,90,0,f
2fa878ee-8c3f-475e-a383-336fd32268fb,11/2/2017 13:05,aaron-sorkin-teaches-screenwriting,90,90,0,t
2fa878ee-8c3f-475e-a383-336fd32268fb,11/2/2017 13:08,david-mamet-teaches-dramatic-writing,90,90,0,t
995a6508-b72f-44a7-ac2e-dba5e423585c,11/2/2017 14:14,diane-von-furstenberg-teaches-building-a-fashion-brand,0,0,90,f
e334cc50-69cf-4529-b62d-1e6c1e291f13,11/2/2017 15:15,gordon-ramsay-teaches-cooking,0,0,90,f
d64ce962-d36e-485c-a60a-e0467fb7464a,11/2/2017 15:26,gordon-ramsay-teaches-cooking,90,90,0,t
65543c4c-251b-4d10-a3cc-f445e7e1a28e,11/2/2017 16:56,aaron-sorkin-teaches-screenwriting,90,90,0,f
7fdaf07b-b2fa-4c78-b358-89e06ac3e641,11/2/2017 17:23,steve-martin-teaches-comedy,90,90,0,f
90fd74c0-3730-4bcf-a8a2-8f05f42f2538,11/2/2017 17:55,gordon-ramsay-teaches-cooking,90,90,0,f
f9f514fb-a24c-4747-a04d-6ecd3f01a7a1,11/2/2017 18:04,gordon-ramsay-teaches-cooking,90,90,0,t
f9f514fb-a24c-4747-a04d-6ecd3f01a7a1,11/2/2017 18:04,aaron-sorkin-teaches-screenwriting,90,90,0,t
f78bb21b-d0c3-49a6-be15-6eb5ba0d02ed,11/2/2017 18:08,gordon-ramsay-teaches-cooking,90,90,0,t
ef612106-e694-4cb1-a3c5-9272b07c29c4,11/2/2017 18:36,gordon-ramsay-teaches-cooking,90,90,0,f
992d5010-aa21-4fec-8188-1d1bcd3a7bf1,11/2/2017 18:37,steve-martin-teaches-comedy,90,90,0,f
97faf1a7-3dc1-4007-b4f4-d2bcd07ba76b,11/2/2017 18:59,david-mamet-teaches-dramatic-writing,90,90,0,f
7a8121aa-18a5-4533-9ca8-f417c015a316,11/2/2017 19:24,gordon-ramsay-teaches-cooking,90,90,0,t
2575fd8f-c966-4d53-af7b-fb6a14793c9f,11/2/2017 19:53,jane-goodall-teaches-conservation,90,90,0,f
1206f505-f364-42e7-861a-016df1ba12a5,11/2/2017 19:57,gordon-ramsay-teaches-cooking,90,90,0,t
b3b34197-0691-4392-8995-6790c91092ea,11/2/2017 20:01,frank-gehry-teaches-design-and-architecture,90,90,0,f
b3b34197-0691-4392-8995-6790c91092ea,11/2/2017 20:03,martin-scorsese-teaches-filmmaking,90,90,0,f
b3b34197-0691-4392-8995-6790c91092ea,11/2/2017 20:05,gordon-ramsay-teaches-cooking,90,90,0,f
b3b34197-0691-4392-8995-6790c91092ea,11/2/2017 20:07,shonda-rhimes-teaches-writing-for-television,90,90,0,f
6bba2664-2f60-4e34-aefa-aa1d1221d3d3,11/2/2017 20:25,dustin-hoffman-teaches-acting,90,90,0,f
d50d5ecc-0331-41e5-984d-75e796df01e1,11/2/2017 20:31,gordon-ramsay-teaches-cooking,90,90,0,t
b56c6cd4-4a54-426b-a23f-b01c0dba71b4,11/2/2017 21:16,gordon-ramsay-teaches-cooking,90,90,0,f
a1ffcf08-3956-493a-bb94-623b3e02534a,11/2/2017 21:31,gordon-ramsay-teaches-cooking,90,90,0,f
e9cde81a-690d-4034-8df8-106bd9d90d98,11/2/2017 23:39,gordon-ramsay-teaches-cooking,90,90,0,t
ba4c3c74-01ec-48e2-b40d-51fbe794ffdb,11/2/2017 23:59,gordon-ramsay-teaches-cooking,90,90,0,f
4b9bab09-637b-4e9f-b123-1e9b80db167c,11/3/2017 0:03,dustin-hoffman-teaches-acting,90,90,0,f
e4fe5f8d-f22b-411f-836a-34990037de4f,11/3/2017 0:16,aaron-sorkin-teaches-screenwriting,90,90,0,t
e4fe5f8d-f22b-411f-836a-34990037de4f,11/3/2017 0:16,werner-herzog-teaches-filmmaking,90,90,0,t
e4fe5f8d-f22b-411f-836a-34990037de4f,11/3/2017 0:17,gordon-ramsay-teaches-cooking,90,90,0,f
d8064250-b0ca-4e95-b81f-7f9996952689,11/3/2017 0:31,gordon-ramsay-teaches-cooking,90,90,0,f
50d2ee78-7bb7-4550-aec4-8ced852c25c2,11/3/2017 0:53,gordon-ramsay-teaches-cooking,90,90,0,f
a41132a6-8a7c-4d9f-b678-c68b999150b1,11/3/2017 0:57,gordon-ramsay-teaches-cooking,87,87,0,f
6cc55115-65a0-40b6-95d0-b9b0ee229ba9,11/3/2017 1:06,gordon-ramsay-teaches-cooking,87,87,0,t
f8bdbd00-5059-4fa5-8aa3-56ca9458b631,11/3/2017 1:15,gordon-ramsay-teaches-cooking,87,87,0,t
9b4e509f-1f13-4e20-b689-244cbe4e12cc,11/3/2017 1:16,gordon-ramsay-teaches-cooking,87,87,0,f
a5b5825d-87f6-42d0-92ce-5306804d684e,11/3/2017 1:19,gordon-ramsay-teaches-cooking,90,90,0,t
d59f4e7e-3d95-4757-b7d5-eba00a54fc16,11/3/2017 1:29,gordon-ramsay-teaches-cooking,90,90,0,f
68f186c0-2efd-4bb0-b808-dc3c8a5be87a,11/3/2017 1:54,gordon-ramsay-teaches-cooking,90,90,0,f
c6f493be-1c01-4b24-87d2-0398cc2179f6,11/3/2017 3:51,gordon-ramsay-teaches-cooking,90,90,0,f
b449de04-a5ba-43b4-a0a6-5896febcc580,11/3/2017 3:56,gordon-ramsay-teaches-cooking,90,90,0,f
cc4096e2-aa51-4ed4-bacd-785245465b79,11/3/2017 4:11,gordon-ramsay-teaches-cooking,90,90,0,f
9cacfa35-ecd2-4434-88a6-d926a9d71f75,11/3/2017 4:17,gordon-ramsay-teaches-cooking,90,90,0,t
447c5997-f6fd-4767-9654-fbb5ed9616cd,11/3/2017 5:30,gordon-ramsay-teaches-cooking,90,90,0,f
11e76836-f00f-4539-92e7-035d59104e13,11/3/2017 5:46,gordon-ramsay-teaches-cooking,90,90,0,f
7fa343e5-bc0f-4c2b-a4e0-783da2eff4cf,11/3/2017 5:50,gordon-ramsay-teaches-cooking,90,90,0,f
d55ef7c5-598c-4b10-9d23-e4f717f7f165,11/3/2017 6:57,gordon-ramsay-teaches-cooking,90,90,0,t
987a3b17-858d-419e-ac07-c41cc1101f34,11/3/2017 7:44,jane-goodall-teaches-conservation,90,90,0,f
1397a53a-d10c-42f3-9663-6b71dda354f2,11/3/2017 8:02,gordon-ramsay-teaches-cooking,90,90,0,f
df7d5481-a862-404b-940f-82efcf0ad688,11/3/2017 8:03,gordon-ramsay-teaches-cooking,90,90,0,t
8f9a9dff-ed55-4a1a-aee3-7b7783b4129a,11/3/2017 8:38,gordon-ramsay-teaches-cooking,90,90,0,f
b1687715-5f1b-45c6-97f8-9b7970eed6f7,11/3/2017 9:36,frank-gehry-teaches-design-and-architecture,90,90,0,f
84cb0bd3-c925-44a7-bb01-6ec513e4838f,11/3/2017 10:09,gordon-ramsay-teaches-cooking,90,90,0,t
04f01c7a-d641-44a7-9fae-64da92858965,11/3/2017 10:16,gordon-ramsay-teaches-cooking,90,90,0,t
ff00d7b8-684b-4cab-9027-5eb7505ec137,11/3/2017 10:48,gordon-ramsay-teaches-cooking,90,90,0,f
b7c06312-7ed8-43c4-ba22-7176febf5066,11/3/2017 10:54,dustin-hoffman-teaches-acting,90,90,0,t
244fb680-0cad-4a49-9cb4-043849775060,11/3/2017 11:01,gordon-ramsay-teaches-cooking,90,90,0,f
52f67583-fa20-496c-a63d-b0eab269e460,11/3/2017 11:34,jane-goodall-teaches-conservation,90,90,0,f
2487b54f-c2f6-446c-b45f-bfef513a9c5c,11/3/2017 12:09,gordon-ramsay-teaches-cooking,90,90,0,t
6fd74459-dc0b-4d13-9858-718fe38082c1,11/3/2017 13:24,gordon-ramsay-teaches-cooking,90,90,0,f
3e686ff4-49a4-4546-9ba9-14e887a12625,11/3/2017 13:30,gordon-ramsay-teaches-cooking,90,90,0,f
51406935-292b-45b1-b38f-4232842d671a,11/3/2017 13:57,gordon-ramsay-teaches-cooking,90,90,0,t
ead0ca4d-335b-460e-843c-3835cc7c0ca8,11/3/2017 14:04,gordon-ramsay-teaches-cooking,90,90,0,f
fed45c9f-8da0-4bfe-892d-75b3bcd5f102,11/3/2017 14:09,gordon-ramsay-teaches-cooking,90,90,0,f
6c8f96e4-d291-4541-873e-b1d4a48d5901,11/3/2017 15:31,gordon-ramsay-teaches-cooking,90,90,0,f
f62b1dee-be33-4cc9-b66b-11934e838975,11/3/2017 15:42,gordon-ramsay-teaches-cooking,90,90,0,f
de0e95ab-1a56-42f1-867e-4e7a18a7e746,11/3/2017 16:04,gordon-ramsay-teaches-cooking,90,90,0,t
5f0577ca-9882-422f-8060-f7991f5517aa,11/3/2017 16:12,gordon-ramsay-teaches-cooking,90,90,0,f
fcf65793-2ac5-4268-8194-4cc603be3f4c,11/3/2017 16:21,gordon-ramsay-teaches-cooking,90,90,0,f
b64cfda3-6bb0-4493-8c7c-2dd1f474cda8,11/3/2017 16:25,gordon-ramsay-teaches-cooking,90,90,0,t
e1506861-aa6a-4b5e-ad06-a6aac62fff01,11/3/2017 16:45,deadmau5-teaches-electronic-music-production,90,90,0,f
e1091eb9-749d-4596-aa5d-5b60334e9a76,11/3/2017 17:14,gordon-ramsay-teaches-cooking,90,90,0,f
0e505a69-91e2-42a0-9f60-85a5363db918,11/3/2017 17:42,gordon-ramsay-teaches-cooking,90,90,0,f
1ec4d9d1-408c-4bf7-b5ba-bb8d78391b14,11/3/2017 17:42,gordon-ramsay-teaches-cooking,90,90,0,f
05de8125-b920-4b2d-8448-628ba997c60c,11/3/2017 18:16,gordon-ramsay-teaches-cooking,90,90,0,f
15f88d07-b02f-4ac5-84c4-7475a9196815,11/3/2017 18:19,deadmau5-teaches-electronic-music-production,90,90,0,f
f73f9673-6663-44aa-b214-75ae2c9dcb45,11/3/2017 18:25,gordon-ramsay-teaches-cooking,90,90,0,f
c89c3cd3-1c8d-4349-9e56-808baada0481,11/3/2017 18:33,gordon-ramsay-teaches-cooking,90,90,0,f
a0717ab4-86b3-457a-a768-f49e2d74d9d0,11/3/2017 18:40,deadmau5-teaches-electronic-music-production,90,90,0,f
c37809c4-a4e4-4f68-8a12-8994bf0411d7,11/3/2017 18:58,gordon-ramsay-teaches-cooking,0,0,90,f
b5e45fa0-3997-4322-a716-1ed2fee2c27a,11/3/2017 19:27,deadmau5-teaches-electronic-music-production,90,90,0,f
70127db2-7093-4c02-8a4d-f5f6694a93f7,11/3/2017 19:34,gordon-ramsay-teaches-cooking,90,90,0,f
be18953e-f0b6-491a-bb7e-c2cb41c459f9,11/3/2017 19:58,gordon-ramsay-teaches-cooking,90,90,0,f
1edf4aed-bb42-4b6a-8460-ce9e18a0bfe8,11/3/2017 20:23,gordon-ramsay-teaches-cooking,90,90,0,t
5e1fee22-5c81-4218-856b-7f0dc0edec26,11/3/2017 20:45,gordon-ramsay-teaches-cooking,90,90,0,f
b4cd6176-3bad-4725-8fa6-fe807218a43d,11/3/2017 21:03,judy-blume-teaches-writing,90,90,0,f
