order delivery time,order id,customer order rating,type of issue reported,region
2014-06-02 04:23:16 UTC,233599337,5,,chi
2014-06-02 03:57:50 UTC,233599376,5,,chi
2014-06-02 02:52:38 UTC,233599328,5,,chi
2014-06-02 02:52:04 UTC,233599070,5,,chi
2014-06-02 02:41:43 UTC,233599100,5,,chi
2014-06-02 02:21:17 UTC,233599256,5,,chi
2014-06-02 02:19:38 UTC,233599234,5,,chi
2014-06-02 02:11:52 UTC,233599182,5,,chi
2014-06-02 02:10:30 UTC,233599154,5,,chi
2014-06-02 02:08:17 UTC,233599142,5,,chi
2014-06-02 02:07:39 UTC,233599265,5,,chi
2014-06-02 02:05:02 UTC,233598241,5,,chi
2014-06-02 02:02:24 UTC,233599054,5,,chi
2014-06-02 02:00:01 UTC,233599228,5,,chi
2014-06-02 01:59:19 UTC,233599230,5,,chi
2014-06-02 01:57:27 UTC,233599093,5,,chi
2014-06-02 01:55:48 UTC,233599258,5,,chi
2014-06-02 01:41:11 UTC,233598993,5,,chi
2014-06-02 01:38:38 UTC,233599094,5,,chi
2014-06-02 01:32:41 UTC,233599052,5,,chi
2014-06-02 01:25:12 UTC,233598772,5,,chi
2014-06-02 01:24:46 UTC,233598715,5,,chi
2014-06-02 01:20:11 UTC,233598935,5,,chi
2014-06-02 01:18:30 UTC,233599006,5,,chi
2014-06-02 01:12:42 UTC,233598947,5,,chi
2014-06-02 01:10:02 UTC,233599056,5,,chi
2014-06-02 01:06:53 UTC,233598721,5,,chi
2014-06-02 01:04:01 UTC,233598113,5,,chi
2014-06-02 01:02:18 UTC,233598939,5,,chi
2014-06-02 01:02:18 UTC,233599005,5,,chi
2014-06-02 01:02:04 UTC,233599000,5,,chi
2014-06-02 01:01:24 UTC,233598952,5,,chi
2014-06-02 00:58:49 UTC,233598937,5,,chi
2014-06-02 00:55:22 UTC,233598015,5,,chi
2014-06-02 00:52:25 UTC,233598699,5,,chi
2014-06-02 00:52:15 UTC,233598578,5,,chi
2014-06-02 00:50:35 UTC,233599014,5,,chi
2014-06-02 00:49:50 UTC,233598957,5,,chi
2014-06-02 00:49:11 UTC,233598699,5,,chi
