Cohort month,Cohort size,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70,71,72,73,74,75,76,77,78,79,80,81,82,83,84,85
8/1/12,402,72%,76%,67%,62%,56%,51%,55%,57%,49%,51%,45%,45%,40%,41%,40%,41%,38%,36%,34%,38%,36%,36%,37%,38%,34%,36%,33%,35%,34%,33%,31%,34%,33%,35%,32%,32%,31%,32%,29%,30%,29%,28%,29%,29%,26%,28%,25%,25%,23%,26%,22%,24%,22%,23%,23%,22%,23%,21%,23%,19%,21%,20%,19%,18%,18%,18%,19%,18%,19%,18%,19%,19%,19%,,,,,,,,,,,,
9/1/12,360,71%,86%,69%,68%,57%,67%,58%,58%,53%,54%,49%,50%,46%,49%,44%,45%,39%,41%,37%,41%,36%,40%,38%,38%,35%,37%,35%,37%,31%,36%,34%,36%,34%,32%,31%,33%,33%,33%,33%,34%,29%,33%,29%,34%,31%,31%,30%,31%,27%,31%,26%,28%,26%,27%,27%,25%,26%,26%,28%,26%,27%,23%,27%,23%,26%,23%,25%,24%,28%,24%,26%,20%,,,,,,,,,,,,,
10/1/12,450,72%,74%,62%,58%,58%,56%,48%,50%,45%,46%,43%,44%,41%,40%,36%,36%,34%,37%,32%,35%,31%,33%,32%,30%,29%,30%,28%,27%,25%,27%,26%,29%,25%,26%,26%,27%,26%,27%,26%,27%,26%,26%,25%,26%,26%,23%,23%,23%,23%,24%,21%,23%,21%,22%,22%,21%,21%,21%,20%,20%,21%,19%,21%,19%,21%,20%,20%,23%,18%,22%,19%,,,,,,,,,,,,,,
11/1/12,447,75%,71%,61%,72%,60%,58%,53%,53%,47%,51%,44%,47%,41%,41%,36%,37%,35%,35%,35%,35%,35%,35%,32%,35%,34%,34%,32%,33%,30%,34%,32%,33%,32%,33%,30%,32%,30%,32%,29%,34%,25%,28%,27%,29%,27%,27%,24%,27%,28%,26%,25%,26%,24%,25%,23%,25%,22%,24%,21%,24%,21%,25%,22%,22%,19%,21%,19%,22%,18%,22%,,,,,,,,,,,,,,,
12/1/12,575,75%,69%,75%,72%,62%,63%,55%,58%,50%,53%,46%,50%,43%,44%,38%,40%,36%,40%,38%,39%,36%,35%,32%,35%,32%,33%,32%,34%,31%,32%,28%,32%,31%,32%,30%,31%,30%,31%,29%,29%,27%,30%,25%,28%,25%,27%,27%,26%,26%,27%,25%,27%,25%,26%,26%,25%,23%,25%,23%,24%,21%,24%,19%,23%,22%,23%,21%,23%,23%,,,,,,,,,,,,,,,,
1/1/13,911,57%,84%,72%,71%,64%,64%,57%,59%,52%,54%,49%,49%,43%,43%,41%,44%,38%,41%,38%,41%,37%,40%,38%,40%,36%,38%,36%,38%,35%,35%,34%,36%,32%,34%,32%,34%,31%,32%,29%,30%,29%,29%,28%,27%,25%,27%,26%,27%,25%,27%,24%,27%,23%,25%,22%,24%,22%,24%,21%,22%,20%,21%,21%,21%,20%,21%,19%,22%,,,,,,,,,,,,,,,,,
2/1/13,953,80%,80%,71%,69%,62%,60%,54%,55%,51%,51%,47%,44%,42%,42%,42%,42%,41%,41%,40%,39%,39%,39%,38%,37%,37%,37%,37%,36%,35%,36%,37%,36%,36%,35%,36%,35%,37%,34%,36%,34%,34%,32%,33%,31%,32%,31%,31%,32%,30%,32%,30%,30%,29%,29%,30%,28%,30%,26%,28%,27%,26%,26%,26%,27%,24%,26%,24%,,,,,,,,,,,,,,,,,,
3/1/13,1197,76%,80%,71%,73%,63%,63%,56%,58%,52%,52%,46%,48%,43%,48%,41%,45%,41%,43%,39%,41%,39%,41%,36%,39%,37%,39%,37%,35%,34%,37%,36%,37%,34%,37%,34%,37%,32%,34%,32%,34%,30%,31%,30%,30%,30%,30%,28%,30%,29%,30%,28%,28%,28%,29%,27%,29%,26%,28%,26%,27%,26%,26%,25%,27%,25%,24%,,,,,,,,,,,,,,,,,,,
4/1/13,849,74%,81%,68%,68%,59%,62%,54%,56%,50%,50%,47%,48%,45%,47%,46%,46%,44%,43%,42%,43%,41%,40%,41%,39%,41%,39%,39%,38%,39%,37%,37%,35%,36%,34%,37%,33%,34%,32%,34%,31%,31%,31%,31%,29%,30%,30%,32%,28%,31%,29%,29%,29%,29%,27%,27%,28%,26%,26%,26%,26%,25%,26%,25%,26%,24%,,,,,,,,,,,,,,,,,,,,
5/1/13,1013,77%,83%,68%,70%,61%,62%,58%,56%,49%,51%,48%,49%,47%,47%,46%,46%,45%,43%,46%,42%,43%,41%,41%,41%,40%,39%,40%,38%,39%,37%,37%,36%,36%,37%,35%,35%,34%,33%,33%,33%,33%,32%,32%,34%,33%,34%,33%,33%,31%,32%,30%,31%,29%,31%,29%,30%,29%,29%,28%,29%,28%,27%,27%,27%,,,,,,,,,,,,,,,,,,,,,
