"scraping_id","listing","city","lon","lat","mapped_location","name","capacity","bathrooms","bedrooms","has_pool","cleaning_fee","is_superhost","host_name"
"197","https://www.airbnb.com/rooms/15982253","Phoenix","-111.984713035487","33.3072282255321","https://maps.google.com/maps?q=33.30722822553212126,-111.98471303548713252","Ahwatukee Sanctuary - 5 Star Home & Location","8","3","4","1","225","0","HitRentals"
"198","https://www.airbnb.com/rooms/5191728","Scottsdale","-111.911480115612","33.5195347123789","https://maps.google.com/maps?q=33.51953471237893467,-111.91148011561165276","Luxury Old town, sleeps 10 in 6 beds, Heated Pool","10","2.5","3","1","135","1","Michael"
"199","https://www.airbnb.com/rooms/16408647","Phoenix","-112.04576527577","33.4980243555909","https://maps.google.com/maps?q=33.49802435559086433,-112.04576527576988099","Phoenix/Biltmore Condo with Private Backyard Patio","8","1","2","1","0","1","Ross"
"200","https://www.airbnb.com/rooms/18121574","Phoenix","-111.981186806153","33.3848924560767","https://maps.google.com/maps?q=33.38489245607674150,-111.98118680615286280","Eduardo The Pool House","8","2","4","1","150","1","Eduardo"
"201","https://www.airbnb.com/rooms/15006971","Scottsdale","-111.895987332546","33.5153721557035","https://maps.google.com/maps?q=33.51537215570345296,-111.89598733254632634","Mins to Old Town Scottsdale! *Arcade*","10","2","3","1","160","1","Michael"
"202","https://www.airbnb.com/rooms/8629032","Scottsdale","-111.89855262831","33.463450386178","https://maps.google.com/maps?q=33.46345038617798195,-111.89855262830968741","4-Bedroom Townhome - Scottsdale AZ","8","2.5","4","1","65","1","Brent"
"203","https://www.airbnb.com/rooms/19438140","Scottsdale","-111.902762463095","33.5216771321996","https://maps.google.com/maps?q=33.52167713219963474,-111.90276246309466046","Beautiful Scottsdale Home","10","5","4","1","160","0","Tom"
"204","https://www.airbnb.com/rooms/18879149","Phoenix","-112.020343711472","33.4773516786507","https://maps.google.com/maps?q=33.47735167865072725,-112.02034371147203728","Charming 1910 Phoenix Historic home - 3BR/1BA","6","1","3","0","150","1","Sandra"
"205","https://www.airbnb.com/rooms/18583886","Scottsdale","-111.916452905866","33.4875831744253","https://maps.google.com/maps?q=33.48758317442533894,-111.91645290586593831","Old Town_4BdRm|NewPOOL ***Spring & Summer Deals***","15","3","4","1","135","1","Becky"
"206","https://www.airbnb.com/rooms/14597844","Scottsdale","-111.916401251544","33.498152099652","https://maps.google.com/maps?q=33.49815209965200324,-111.91640125154447105","Spacious Condo in the Heart of Old town Scottsdale","10","2.5","4","1","120","1","Wei"
"207","https://www.airbnb.com/rooms/16364989","Scottsdale","-111.899712771294","33.5803224830406","https://maps.google.com/maps?q=33.58032248304056111,-111.89971277129438931","Belgian Trail Home","8","2","4","1","140","1","Bob"
"208","https://www.airbnb.com/rooms/17190691","Phoenix","-112.046134","33.530482","https://maps.google.com/maps?q=33.53048200000000000,-112.04613400000000000","Mid-Century Modern Uptown Phoenix Three BR 158","8","2","3","1","75","0","Ardent"
