element_id,is mobile ( 1),CVR estimation 1 ,CVR estimation 2 
41646,,0.07692141,0.057
41646,1,0.01505345,0.0124
41657,,0.02983747,0.057
41657,1,0.01505345,0.0124
41662,,0.02902789,0.057
41662,1,0.01505345,0.0124
41677,,0.02983747,0.057
41677,1,0.01505345,0.0124
41685,,0.02983747,0.057
41685,1,0.01505345,0.0124
41785,,0.02983747,0.057
41785,1,0.01505345,0.0124
41807,,0.02902789,0.057
41807,1,0.01505345,0.0124
41822,,0.02983747,0.057
41822,1,0.01505345,0.0124
41828,,0.07692141,0.057
41828,1,0.01505345,0.0124
41829,,0.02902789,0.057
41829,1,0.01455392,0.0124
41831,,0.02983747,0.057
41831,1,0.01505345,0.0124
41843,,0.07692141,0.057
41843,1,0.01505345,0.0124
41849,,0.02902789,0.057
41849,1,0.01505345,0.0124
41866,,0.02983747,0.057
41866,1,0.01505345,0.0124
41877,,0.07564603,0.057
41877,1,0.01505345,0.0124
41878,,0.02983747,0.057
41878,1,0.01505345,0.0124
41881,,0.02983747,0.057
41881,1,0.01505345,0.0124
41954,,0.02983747,0.057
41954,1,0.01505345,0.0124
42019,,0.02983747,0.057
42019,1,0.01505345,0.0124
42039,,0.02983747,0.057
42039,1,0.01505345,0.0124
42058,,0.02983747,0.057
42058,1,0.01505345,0.0124
42059,,0.02983747,0.057
42059,1,0.01505345,0.0124
42064,,0.02983747,0.057
42064,1,0.01505345,0.0124
42086,,0.02983747,0.057
42086,1,0.01505345,0.0124
42088,,0.02983747,0.057
42088,1,0.01505345,0.0124
42113,,0.02826108,0.057
42113,1,0.01505345,0.0124
42263,,0.02983747,0.057
42263,1,0.01505345,0.0124
42313,,0.02902789,0.057
42313,1,0.01505345,0.0124
42317,,0.02983747,0.057
42317,1,0.01505345,0.0124
42379,,0.02983747,0.057
42379,1,0.01505345,0.0124
42398,,0.02983747,0.057
42398,1,0.01505345,0.0124
42399,,0.02983747,0.057
42399,1,0.01505345,0.0124
42404,,0.02983747,0.057
42404,1,0.01505345,0.0124
42470,,0.02983747,0.057
42470,1,0.01505345,0.0124
42523,,0.02983747,0.057
42523,1,0.01505345,0.0124
42524,,0.02983747,0.057
42524,1,0.01323624,0.0124
42525,,0.02983747,0.057
42525,1,0.01505345,0.0124
42620,,0.02983747,0.057
42620,1,0.01505345,0.0124
42625,,0.02983747,0.057
42625,1,0.01505345,0.0124
42681,,0.02983747,0.057
42681,1,0.01505345,0.0124
42684,,0.02983747,0.057
42684,1,0.01505345,0.0124
42818,,0.02983747,0.057
42818,1,0.01455392,0.0124
42819,,0.02983747,0.057
42819,1,0.01505345,0.0124
42836,,0.02983747,0.057
42836,1,0.01505345,0.0124
42877,,0.02902789,0.057
42877,1,0.01505345,0.0124
42878,,0.02983747,0.057
42878,1,0.01505345,0.0124
42882,,0.02902789,0.057
42882,1,0.01505345,0.0124
42917,,0.02902789,0.057
42917,1,0.01505345,0.0124
42960,,0.02983747,0.057
42960,1,0.01505345,0.0124
42961,,0.02983747,0.057
42961,1,0.01505345,0.0124
42992,,0.07692141,0.057
42992,1,0.01505345,0.0124
43010,,0.02902789,0.057
43010,1,0.01505345,0.0124
43118,,0.02983747,0.057
43118,1,0.01505345,0.0124
43127,,0.02983747,0.057
43127,1,0.01505345,0.0124
43177,,0.02983747,0.057
43177,1,0.01505345,0.0124
43231,,0.02983747,0.057
43231,1,0.01505345,0.0124
